"","y_position","x_start","x_end","bar_width","variable_a","variable_b","variable_c","variable_d","sum_check","category"
"1",1,0,20,20,1,"TypeF",37,"Lower",38,"CAT_5"
"2",2,0,20,20,3,"TypeF",41,"Lower",44,"CAT_5"
"3",3,0,20,20,3,"TypeF",38,"Lower",41,"CAT_5"
"4",4,0,2,2,2,"TypeF",1,"Lower",3,"CAT_5"
"5",4,2,8,6,10,"TypeB",14,"Lower",24,"CAT_1"
"6",4,8,12,4,35,"TypeD",9,"Lower",44,"CAT_3"
"7",4,12,18,6,10,"TypeB",12,"Lower",22,"CAT_1"
"8",4,18,20,2,4,"TypeF",3,"Lower",7,"CAT_5"
"9",5,0,2,2,5,"TypeF",4,"Lower",9,"CAT_5"
"10",5,2,8,6,14,"TypeB",12,"Lower",26,"CAT_1"
"11",5,8,12,4,31,"TypeD",8,"Lower",39,"CAT_3"
"12",5,12,18,6,14,"TypeA",11,"Lower",25,"CAT_1"
"13",5,18,20,2,3,"TypeF",6,"Lower",9,"CAT_5"
"14",6,0,3,3,2,"TypeF",3,"Lower",5,"CAT_5"
"15",6,3,8,5,15,"TypeA",13,"Lower",28,"CAT_1"
"16",6,8,12,4,31,"TypeD",8,"Lower",39,"CAT_3"
"17",6,12,17,5,11,"TypeB",7,"Lower",18,"CAT_1"
"18",6,17,20,3,4,"TypeF",4,"Lower",8,"CAT_5"
"19",7,0,3,3,2,"TypeF",9,"Lower",11,"CAT_5"
"20",7,3,7,4,11,"TypeA",6,"Lower",17,"CAT_1"
"21",7,7,13,6,34,"TypeD",14,"Lower",48,"CAT_3"
"22",7,13,17,4,10,"TypeA",11,"Lower",21,"CAT_1"
"23",7,17,20,3,2,"TypeF",7,"Lower",9,"CAT_5"
"24",8,0,4,4,4,"TypeF",7,"Lower",11,"CAT_5"
"25",8,4,7,3,10,"TypeB",8,"Lower",18,"CAT_1"
"26",8,7,13,6,30,"TypeD",15,"Lower",45,"CAT_3"
"27",8,13,16,3,10,"TypeA",7,"Lower",17,"CAT_1"
"28",8,16,20,4,5,"TypeF",9,"Lower",14,"CAT_5"
"29",9,0,4,4,2,"TypeF",11,"Lower",13,"CAT_5"
"30",9,4,8,4,13,"TypeA",7,"Lower",20,"CAT_1"
"31",9,8,12,4,33,"TypeD",11,"Lower",44,"CAT_3"
"32",9,12,16,4,12,"TypeB",9,"Lower",21,"CAT_1"
"33",9,16,20,4,3,"TypeF",10,"Lower",13,"CAT_5"
"34",10,0,4,4,5,"TypeF",8,"Lower",13,"CAT_5"
"35",10,4,6,2,13,"TypeA",2,"Lower",15,"CAT_1"
"36",10,6,8,2,24,"TypeC",7,"Lower",31,"CAT_2"
"37",10,8,12,4,13,"TypeA",6,"Lower",19,"CAT_1"
"38",10,12,14,2,22,"TypeC",5,"Lower",27,"CAT_2"
"39",10,14,16,2,13,"TypeA",2,"Lower",15,"CAT_1"
"40",10,16,20,4,2,"TypeF",5,"Lower",7,"CAT_5"
"41",11,0,5,5,2,"TypeF",11,"Upper",13,"CAT_5"
"42",11,5,6,1,10,"TypeA",1,"Upper",11,"CAT_1"
"43",11,6,8,2,24,"TypeC",1,"Upper",25,"CAT_2"
"44",11,8,12,4,13,"TypeA",5,"Upper",18,"CAT_1"
"45",11,12,14,2,25,"TypeC",3,"Upper",28,"CAT_2"
"46",11,14,15,1,10,"TypeB",2,"Upper",12,"CAT_1"
"47",11,15,20,5,4,"TypeF",12,"Upper",16,"CAT_5"
"48",12,0,5,5,4,"TypeF",9,"Upper",13,"CAT_5"
"49",12,5,6,1,10,"TypeA",1,"Upper",11,"CAT_1"
"50",12,6,8,2,21,"TypeC",7,"Upper",28,"CAT_2"
"51",12,8,12,4,15,"TypeA",9,"Upper",24,"CAT_1"
"52",12,12,14,2,21,"TypeC",7,"Upper",28,"CAT_2"
"53",12,14,15,1,10,"TypeA",1,"Upper",11,"CAT_1"
"54",12,15,20,5,2,"TypeF",10,"Upper",12,"CAT_5"
"55",13,0,5,5,4,"TypeF",13,"Upper",17,"CAT_5"
"56",13,5,15,10,10,"TypeA",18,"Upper",28,"CAT_1"
"57",13,15,20,5,5,"TypeF",11,"Upper",16,"CAT_5"
"58",14,0,5,5,5,"TypeF",9,"Upper",14,"CAT_5"
"59",14,5,15,10,10,"TypeA",22,"Upper",32,"CAT_1"
"60",14,15,20,5,2,"TypeF",11,"Upper",13,"CAT_5"
"61",15,0,6,6,5,"TypeF",10,"Upper",15,"CAT_5"
"62",15,6,14,8,14,"TypeB",13,"Upper",27,"CAT_1"
"63",15,14,20,6,4,"TypeF",11,"Upper",15,"CAT_5"
"64",16,0,7,7,2,"TypeF",15,"Upper",17,"CAT_5"
"65",16,7,13,6,10,"TypeB",11,"Upper",21,"CAT_1"
"66",16,13,20,7,5,"TypeF",12,"Upper",17,"CAT_5"
"67",17,0,8,8,4,"TypeF",15,"Upper",19,"CAT_5"
"68",17,8,12,4,8,"TypeE",6,"Upper",14,"CAT_4"
"69",17,12,20,8,4,"TypeF",15,"Upper",19,"CAT_5"
"70",18,0,9,9,2,"TypeF",19,"Upper",21,"CAT_5"
"71",18,9,11,2,7,"TypeE",1,"Upper",8,"CAT_4"
"72",18,11,20,9,3,"TypeF",21,"Upper",24,"CAT_5"
